普通中文,客家汉字,Hakka Pronunciation,English Definition
太陽,日頭,ngit5 teu2,Sun
月亮,月光,ngiet6 gong1,Moon
星星,星,sin1,Star
流星,天瀉屎,tien1 sia4 si3,Meteor
彗星,掃把星,sau4 ba3 sin1,Comet
銀河,天河,tien1 ho2,The milky way
日食,天狗食日,tien1 geu3 sit6 ngit5,Solar eclipse
月食,天狗食月,tien1 geu3 sit6 ngiet6,Lunar eclipse
刮風,發風,da3 fung1,Wind blows
刮颱風,打風差,da3 fung1 cai1,Have a typhoon
旋風,皺風鬼,zeu4 fung1 gui3,Tornado
逆風,頂頭風,din3 teu2 fung1,Against the wind
雲,雲,yun2,Cloud
雨,水,sui3,Rain（n.）
毛毛雨,水毛,sui3 mau1,Drizzle
下雨,落水,lok6 sui3,Rain (v.)
雨停了,晴水,ciang2 sui3,Rain stops
淋雨,涿水,duk5 sui3,Caught in the rain
雷,雷公,lui2 gung1,Thunder (n.)
打雷,雷公叫,lui2 gung1 giau4,Thunder (v.)
閃電,火蛇囁,fo3 sa2 ngiap5,Lightning
露水,露水,lu4 sui3,Dew (n.)
結露水,打露水,da3 lu4 sui3,Dew (v.)
霧,霧,mu4,Fog
起霧,落霧,lok6 mu4,Mist
霜,霜,song1,Frost (n.)
下霜,落霜,lok6 song1,Frost (v.)
虹,天弓,tien1 giung1,Rainbow
冰雹,雹,pok6,Hail(n.)
下冰雹,落雹,lok6 pok6,Hail (v.)
驟雨,過雲水,go4 yun2 sui3,Shower
雪,雪,siet5,Snow (n.)
下雪,落雪,lok6 siet5,Snow (v.)
雪化了,融雪,yung2 siet5,(snow)melt
冰,冰,ben1,Ice
結冰,結冰,giet5 ben1,Freeze
凍住了,結嗨冰,giet5 hoi1 ben1,Frozen
天氣,天時,tien1 si2,Weather
陰天,烏陰天,vu1 yim1 tien1,Overcast
晴天,好天,hau3 tien1,Sunny
天旱,天旱,tien1 hon1,Drought
水澇,浸大水,zim4 tai4 sui3,Flood
(天氣)熱,熱,ngiet6,Hot
(天氣)悶熱,熻,hip5,Hot and stuffy
(天氣)冷,冷,lang1,Cold
(天氣)涼,涼,liong2,Cool
(天氣)涼快,涼爽,liong2 song3,Cool and nice(weather)
(天氣)暖和,暖,lon1,Warm (weather)
山,嶺崗,liang1 gong1,Mountain
山頂,嶺頂,liang1 dang3,Peak
山腰,半山,ban4 san1,Mountainside
山麓,山腳下,san1 giok5 ha1,Foot of the mountain
山崖,山崖,san1 ngai2,Cliff
山崖,崩崗,ben1 gong1,Cliff
山谷,山窩,san1 vo1,Valley
山前,嶺腳下,liang3 giok5 ha1,Front of mountain
山後,嶺背後,liang1 boi4 heu1,Back of mountain
海,海,hoi3,Sea
江,河,ho2,River (discharging into the sea)
湖,湖,fu2,Lake
河,河,ho2,River
河岸,河邊,ho2 bien1,Riverside
河堤(沿河築),河壆,ho2 bok5,River bank
河壩(攔河築),陂頭,bi1 teu2,Dam
沙灘,沙壩,sa1 ba4,Beach
小溪,坑瀝,hang1 lak5,Stream
水渠,圳,zun4,Trench
池塘,塘,tong2,Pond
水坑,湖氹,fu2 tem2,Sump Puddle
平地,平地,piang2 ti4,"Flatland, plain"
石頭,石牯,sak6 gu3,Stone
